event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
nc72373456,2015-01-01T12:16:14Z,2015,5.36,mw,23.9,40.442,-125.7746667,G+040-0130,39,3.1,0,SEQ_nc72373456,development
usc000tbfq,2015-01-03T17:44:03Z,2015,5.0,mww,8.5,44.5074,-114.112,G+040-0120,569,5.2,0,SEQ_usc000tbfq,train
usc000tcb4,2015-01-07T04:48:33Z,2015,5.1,mwr,22.0,24.26,121.7,G+020+0120,13,3.8,0,SEQ_usc000tcb4,train
usc000tejf,2015-01-10T19:32:00Z,2015,5.9,mww,59.0,14.7709,120.2456,G+010+0120,68,5.3,0,SEQ_usc000tejf,train
usc000tfjg,2015-01-14T05:21:38Z,2015,5.3,mb,10.0,29.3525,103.1991,G+020+0100,10,3.1,0,SEQ_usc000tfjg,train
usc000tgde,2015-01-16T11:39:23Z,2015,5.1,mb,79.03,-3.3787,-79.9723,G-010-0080,11,6.0,1,SEQ_usc000tgde,train
usc000thq4,2015-01-21T05:20:27Z,2015,5.2,mb,78.36,5.7486,125.3759,G+000+0120,10,4.1,0,SEQ_usc000thq4,train
usc000tj2w,2015-01-26T07:09:54Z,2015,5.1,mb,56.84,9.6106,122.3764,G+000+0120,17,3.8,0,SEQ_usc000tj2w,train
nc72387946,2015-01-28T21:08:53Z,2015,5.72,mw,16.881,40.3178333,-124.6066667,G+040-0130,849,5.3,0,SEQ_nc72373456,development
usc000tkwv,2015-02-02T10:49:48Z,2015,6.3,mww,172.0,-32.7183,-67.1231,G-040-0070,86,4.3,0,SEQ_usc000tkwv,train
usc000tkzl,2015-02-02T15:13:39Z,2015,5.4,mwb,17.0,13.9766,124.5783,G+010+0120,10,4.1,0,SEQ_usc000tkzl,train
usc000tlui,2015-02-05T04:21:50Z,2015,5.3,mww,5.0,8.24,-72.14,G+000-0080,19,7.7,1,SEQ_usc000tlui,development
usc000tmvl,2015-02-06T22:02:28Z,2015,5.4,mww,77.39,12.5438,-87.7218,G+010-0090,13,3.8,0,SEQ_usc000tmvl,development
usc000tp1s,2015-02-11T18:57:22Z,2015,6.7,mww,223.0,-23.1125,-66.688,G-030-0070,25,3.7,0,SEQ_usc000tp1s,development
usb000tnlk,2015-02-12T15:50:59Z,2015,5.5,mwb,41.67,19.3552,-105.7405,G+010-0110,32,3.8,0,SEQ_usb000tnlk,train
usb000tp6y,2015-02-13T20:06:32Z,2015,6.2,mww,30.0,22.6374,121.427,G+020+0120,26,5.6,0,SEQ_usb000tp6y,development
usb000tpvj,2015-02-16T23:06:28Z,2015,6.7,mww,23.0,39.8558,142.8808,G+030+0140,44,5.4,0,SEQ_usb000tpvj,train
usb000tpy8,2015-02-17T04:46:38Z,2015,5.5,mwb,47.0,40.1095,141.8914,G+040+0140,13,5.3,0,SEQ_usb000tpvj,train
usb000tq1p,2015-02-17T14:35:54Z,2015,5.4,mww,72.6,-32.375,-71.013,G-040-0080,232,5.4,0,SEQ_usb000tq1p,train
usc000ts6w,2015-02-21T22:26:45Z,2015,5.1,mb,95.0,4.67,-76.18,G+000-0080,37,4.1,0,SEQ_usc000ts6w,train
usc000tsa5,2015-02-22T12:56:24Z,2015,5.5,mww,149.0,2.7299,-76.5012,G+000-0080,18,4.1,0,SEQ_usc000tsa5,development
usc000tsak,2015-02-22T14:23:12Z,2015,6.2,mww,5.0,18.6766,-106.848,G+010-0110,12,3.3,0,SEQ_usc000tsak,train
