region_cell,n,brier,brier_status
G+000+0040,2,0.034267649351,OK
G+000+0090,1,0.116954082947,OK
G+000+0120,25,0.214249028338,OK
G+000-0080,15,0.133363771359,OK
G+000-0090,8,0.176833595737,OK
G+010+0030,1,0.471194182259,OK
G+010+0040,1,0.061502757514,OK
G+010+0080,1,0.023369001962,OK
G+010+0090,2,0.051665482652,OK
G+010+0100,1,0.030861013356,OK
G+010+0120,14,0.228486784253,OK
G+010+0140,11,0.083926668449,OK
G+010-0030,1,0.04882498698,OK
G+010-0060,1,0.022331204529,OK
G+010-0070,8,0.138493253844,OK
G+010-0080,7,0.281693335552,OK
G+010-0090,16,0.160265529765,OK
G+010-0100,15,0.159147763048,OK
G+010-0110,4,0.29260294535,OK
G+010-0160,2,0.224247471557,OK
G+020+0060,2,0.064992622326,OK
G+020+0080,5,0.315264077699,OK
G+020+0090,7,0.2837788479,OK
G+020+0120,26,0.150776680674,OK
G+020+0130,1,0.002441038576,OK
G+020-0070,1,0.115022808907,OK
G+020-0110,1,0.371931069986,OK
G+030+0000,1,0.023593523678,OK
G+030+0010,6,0.151188558364,OK
G+030+0020,8,0.170842665877,OK
G+030+0030,14,0.283805470345,OK
G+030+0040,7,0.209982171746,OK
G+030+0050,1,0.023369001962,OK
G+030+0060,4,0.176663991057,OK
G+030+0070,12,0.282597697088,OK
G+030+0100,1,0.350354454984,OK
G+030+0110,1,0.583553432985,OK
G+030+0130,13,0.205730739003,OK
G+030+0140,10,0.1137104987,OK
G+030-0010,2,0.052382826694,OK
G+030-0100,1,0.684054659969,OK
G+030-0110,3,0.662266852857,OK
G+030-0120,3,0.365680523988,OK
G+040+0010,2,0.631223224746,OK
G+040+0020,6,0.216058538598,OK
G+040+0040,2,0.368458704341,OK
G+040+0070,5,0.172395517518,OK
G+040+0090,1,0.023369001962,OK
G+040+0140,5,0.327620635276,OK
G+040-0130,14,0.173728127853,OK
G+050+0160,1,0.057979919602,OK
G+050-0140,5,0.148824778,OK
G+050-0160,5,0.024939038036,OK
G+050-0170,2,0.052733169537,OK
G+050-0180,1,0.079777839029,OK
G+060-0030,1,0.041039376058,OK
G+060-0150,1,0.607984569092,OK
G+060-0160,2,0.0067602485,OK
G-010+0090,1,0.048941483919,OK
G-010+0100,6,0.272112125668,OK
G-010+0110,14,0.074110470729,OK
G-010+0120,2,0.044695127868,OK
G-010+0130,2,0.156616411964,OK
G-010+0140,5,0.190947343424,OK
G-010+0150,2,0.012118652747,OK
G-010-0080,7,0.121839659753,OK
G-020+0160,7,0.283315512781,OK
G-020-0070,1,0.043484461728,OK
G-020-0080,8,0.109909420531,OK
G-020-0180,5,0.195356002301,OK
G-030+0160,1,0.058279355267,OK
G-030+0170,1,0.824898192064,OK
G-030-0070,9,0.023552775832,OK
G-030-0080,7,0.139547655936,OK
G-030-0180,1,0.195374934514,OK
G-040+0010,1,0.038458520346,OK
G-040+0110,1,0.038458520346,OK
G-040+0170,4,0.161483824675,OK
G-040-0070,3,0.029654768332,OK
G-040-0080,15,0.207237562616,OK
G-040-0180,1,0.286108418787,OK
G-050+0170,7,0.039358546487,OK
